Firstname,Lastname,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Year,Category,Prize_Share,Motivation,Birth_Year,Age
Pieter,Zeeman,male,1865-05-25,the Netherlands,Zonnemaire,NL,09/10/1943,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands,1902,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1865.0,37.0
Ronald,Ross,male,1857-05-13,India,Almora,IN,16/09/1932,United Kingdom,Putney Heath,GB,University College,Liverpool,United Kingdom,1902,medicine,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1857.0,45.0
Hendrik A.,Lorentz,male,1853-07-18,the Netherlands,Arnhem,NL,04/02/1928,the Netherlands,,NL,Leiden University,Leiden,the Netherlands,1902,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1853.0,49.0
Pierre,Curie,male,1859-05-15,France,Paris,FR,19/04/1906,France,Paris,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1903,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1859.0,44.0
Randal,Cremer,male,1828-03-18,United Kingdom,Fareham,GB,22/07/1908,United Kingdom,London,GB,,,,1903,peace,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",1828.0,75.0
Henri,Becquerel,male,1852-12-15,France,Paris,FR,25/08/1908,France,,FR,École Polytechnique,Paris,France,1903,physics,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",1852.0,51.0
Marie,Curie,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,,,,1903,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1867.0,36.0
Marie,Curie,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,,,,1911,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",1867.0,44.0
Niels Ryberg,Finsen,male,1860-12-15,Faroe Islands (Denmark),Thorshavn,DK,24/09/1904,Denmark,Copenhagen,DK,Finsen Medical Light Institute,Copenhagen,Denmark,1903,medicine,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",1860.0,43.0
Bjørnstjerne,Bjørnson,male,1832-12-08,Norway,Kvikne,NO,26/04/1910,France,Paris,FR,,,,1903,literature,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1832.0,71.0
Svante,Arrhenius,male,1859-02-19,Sweden,Vik,SE,02/10/1927,Sweden,Stockholm,SE,Stockholm University,Stockholm,Sweden,1903,chemistry,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1859.0,44.0
José,Echegaray,male,1832-04-19,Spain,Madrid,ES,04/09/1916,Spain,Madrid,ES,,,,1904,literature,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",1832.0,72.0
Lord,Rayleigh,male,1842-11-12,United Kingdom,Langford Grove Maldon Essex,GB,30/06/1919,United Kingdom,,GB,Royal Institution of Great Britain,London,United Kingdom,1904,physics,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1842.0,62.0
Institute of International Law,,org,1873-00-00,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1904,peace,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",,
Sir William,Ramsay,male,1852-10-02,Scotland,Glasgow,GB,23/07/1916,United Kingdom,High Wycombe,GB,University College,London,United Kingdom,1904,chemistry,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",1852.0,52.0
Ivan,Pavlov,male,1849-09-14,Russia,Ryazan,RU,27/02/1936,Russia,Leningrad,RU,Military Medical Academy,St. Petersburg,Russia,1904,medicine,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",1849.0,55.0
Frédéric,Mistral,male,1830-09-08,France,Maillane,FR,25/03/1914,France,Maillane,FR,,,,1904,literature,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",1830.0,74.0
Adolf,von Baeyer,male,1835-10-31,Prussia (now Germany),Berlin,DE,20/08/1917,Germany,Starnberg,DE,Munich University,Munich,Germany,1905,chemistry,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",1835.0,70.0
Henryk,Sienkiewicz,male,1846-05-05,Poland,Wola Okrzejska,PL,15/11/1916,Switzerland,Vevey,CH,,,,1905,literature,1,"""because of his outstanding merits as an epic writer""",1846.0,59.0
Philipp,Lenard,male,1862-06-07,Hungary (now Slovakia),Pressburg (now Bratislava),SK,20/05/1947,Germany,Messelhausen,DE,Kiel University,Kiel,Germany,1905,physics,1,"""for his work on cathode rays""",1862.0,43.0
Bertha,von Suttner,female,1843-06-09,Austrian Empire (now Czech Republic),Prague,CZ,21/06/1914,Austria,Vienna,AT,,,,1905,peace,1,"""for her audacity to oppose the horrors of war""",1843.0,62.0
Robert,Koch,male,1843-12-11,Germany,Clausthal (now Clausthal-Zellerfeld),DE,27/05/1910,Germany,Baden-Baden,DE,Institute for Infectious Diseases,Berlin,Germany,1905,medicine,1,"""for his investigations and discoveries in relation to tuberculosis""",1843.0,62.0
Giosuè,Carducci,male,1835-07-27,Tuscany (now Italy),Val di Castello,IT,16/02/1907,Italy,Bologna,IT,,,,1906,literature,1,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",1835.0,71.0
Theodore,Roosevelt,male,1858-10-27,USA,New York NY,US,06/01/1919,USA,Oyster Bay NY,US,,,,1906,peace,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",1858.0,48.0
J.J.,Thomson,male,1856-12-18,United Kingdom,Cheetham Hill,GB,30/08/1940,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1906,physics,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1856.0,50.0
Santiago,Ramón y Cajal,male,1852-05-01,Spain,Petilla de Aragón,ES,17/10/1934,Spain,Madrid,ES,Madrid University,Madrid,Spain,1906,medicine,2,"""in recognition of their work on the structure of the nervous system""",1852.0,54.0
Henri,Moissan,male,1852-09-28,France,Paris,FR,20/02/1907,France,Paris,FR,Sorbonne University,Paris,France,1906,chemistry,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",1852.0,54.0
Camillo,Golgi,male,1843-07-07,Italy,Corteno,IT,21/01/1926,Italy,Pavia,IT,Pavia University,Pavia,Italy,1906,medicine,2,"""in recognition of their work on the structure of the nervous system""",1843.0,63.0
Alphonse,Laveran,male,1845-06-18,France,Paris,FR,18/05/1922,France,Paris,FR,Institut Pasteur,Paris,France,1907,medicine,1,"""in recognition of his work on the role played by protozoa in causing diseases""",1845.0,62.0
Eduard,Buchner,male,1860-05-20,Bavaria (now Germany),Munich,DE,13/08/1917,Romania,Focsani,RO,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1907,chemistry,1,"""for his biochemical researches and his discovery of cell-free fermentation""",1860.0,47.0
Rudyard,Kipling,male,1865-12-30,British India (now India),Bombay (now Mumbai),IN,18/01/1936,United Kingdom,London,GB,,,,1907,literature,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1865.0,42.0
Louis,Renault,male,1843-05-21,France,Autun,FR,08/02/1918,France,Barbizon,FR,Sorbonne University,Paris,France,1907,peace,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",1843.0,64.0
Ernesto Teodoro,Moneta,male,1833-09-20,Austrian Empire (now Italy),Milan,IT,10/02/1918,Italy,Milan,IT,,,,1907,peace,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",1833.0,74.0
Albert A.,Michelson,male,1852-12-19,Prussia (now Poland),Strelno (now Strzelno),PL,09/05/1931,USA,Pasadena CA,US,University of Chicago,Chicago IL,USA,1907,physics,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1852.0,55.0
Ernest,Rutherford,male,1871-08-30,New Zealand,Nelson,NZ,19/10/1937,United Kingdom,Cambridge,GB,Victoria University,Manchester,United Kingdom,1908,chemistry,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",1871.0,37.0
Rudolf,Eucken,male,1846-01-05,East Friesland (now Germany),Aurich,DE,14/09/1926,Germany,Jena,DE,,,,1908,literature,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1846.0,62.0
Fredrik,Bajer,male,1837-04-21,Denmark,Næstved,DK,22/01/1922,Denmark,Copenhagen,DK,,,,1908,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",1837.0,71.0
Ilya,Mechnikov,male,1845-05-15,Russian Empire (now Ukraine),Kharkov (now Kharkiv),UA,15/07/1916,France,Paris,FR,Institut Pasteur,Paris,France,1908,medicine,2,"""in recognition of their work on immunity""",1845.0,63.0
Paul,Ehrlich,male,1854-03-14,Prussia (now Poland),Strehlen (now Strzelin),PL,20/08/1915,Germany,Bad Homburg vor der Höhe,DE,Goettingen University,Göttingen,Germany,1908,medicine,2,"""in recognition of their work on immunity""",1854.0,54.0
Klas Pontus,Arnoldson,male,1844-10-27,Sweden,Gothenburg,SE,20/02/1916,Sweden,Stockholm,SE,,,,1908,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",1844.0,64.0
Gabriel,Lippmann,male,1845-08-16,Luxembourg,Hollerich,LU,13/07/1921,,,,Sorbonne University,Paris,France,1908,physics,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1845.0,63.0
Guglielmo,Marconi,male,1874-04-25,Italy,Bologna,IT,20/07/1937,Italy,Rome,IT,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1909,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",1874.0,35.0
Theodor,Kocher,male,1841-08-25,Switzerland,Bern,CH,27/07/1917,Switzerland,Bern,CH,Berne University,Bern,Switzerland,1909,medicine,1,"""for his work on the physiology pathology and surgery of the thyroid gland""",1841.0,68.0
Selma,Lagerlöf,female,1858-11-20,Sweden,Mårbacka,SE,16/03/1940,Sweden,Mårbacka,SE,,,,1909,literature,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",1858.0,51.0
Wilhelm,Ostwald,male,1853-09-02,Russian Empire (now Latvia),Riga,LV,04/04/1932,Germany,Leipzig,DE,Leipzig University,Leipzig,Germany,1909,chemistry,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1853.0,56.0
Ferdinand,Braun,male,1850-06-06,Hesse-Kassel (now Germany),Fulda,DE,20/04/1918,USA,Brooklyn NY,US,Strasbourg University,Strasbourg,Germany (now France),1909,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",1850.0,59.0
Auguste,Beernaert,male,1829-07-26,Belgium,Ostend,BE,06/10/1912,Switzerland,Lucerne,CH,,,,1909,peace,2,"""for their prominent position in the international movement for peace and arbitration""",1829.0,80.0
Paul Henri,d'Estournelles de Constant,male,1852-11-22,France,La Flèche,FR,15/05/1924,France,Paris,FR,,,,1909,peace,2,"""for their prominent position in the international movement for peace and arbitration""",1852.0,57.0
Paul,Heyse,male,1830-03-15,Prussia (now Germany),Berlin,DE,02/04/1914,Germany,Munich,DE,,,,1910,literature,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",1830.0,80.0
Permanent International Peace Bureau,,org,1891-00-00,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1910,peace,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",,
Johannes Diderik,van der Waals,male,1837-11-23,the Netherlands,Leiden,NL,08/03/1923,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands,1910,physics,1,"""for his work on the equation of state for gases and liquids""",1837.0,73.0
Albrecht,Kossel,male,1853-09-16,Mecklenburg (now Germany),Rostock,DE,05/07/1927,Germany,Heidelberg,DE,University of Heidelberg,Heidelberg,Germany,1910,medicine,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",1853.0,57.0
Otto,Wallach,male,1847-03-27,Germany (now Russia),Koenigsberg (now Kaliningrad),RU,26/02/1931,Germany,Göttingen,DE,Goettingen University,Göttingen,Germany,1910,chemistry,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1847.0,63.0
Alfred,Fried,male,1864-11-11,Austria,Vienna,AT,04/05/1921,Austria,Vienna,AT,,,,1911,peace,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",1864.0,47.0
Tobias,Asser,male,1838-04-28,the Netherlands,Amsterdam,NL,29/07/1913,the Netherlands,the Hague,NL,,,,1911,peace,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",1838.0,73.0
Marie,Curie,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,Sorbonne University,Paris,France,1903,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1867.0,36.0
Marie,Curie,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,Sorbonne University,Paris,France,1911,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",1867.0,44.0
Wilhelm,Wien,male,1864-01-13,Prussia (now Russia),Gaffken (now Parusnoye),RU,30/08/1928,Germany,Munich,DE,Würzburg University,Würzburg,Germany,1911,physics,1,"""for his discoveries regarding the laws governing the radiation of heat""",1864.0,47.0
Maurice,Maeterlinck,male,1862-08-29,Belgium,Ghent,BE,06/05/1949,France,Nice,FR,,,,1911,literature,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1862.0,49.0
Allvar,Gullstrand,male,1862-06-05,Sweden,Landskrona,SE,28/07/1930,Sweden,Stockholm,SE,Uppsala University,Uppsala,Sweden,1911,medicine,1,"""for his work on the dioptrics of the eye""",1862.0,49.0
Gerhart,Hauptmann,male,1862-11-15,Prussia (now Poland),Bad Salzbrunn,PL,06/06/1946,Germany (now Poland),Agnetendorf (now Jagniatków),PL,,,,1912,literature,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",1862.0,50.0
Alexis,Carrel,male,1873-06-28,France,Sainte-Foy-lès-Lyon,FR,05/11/1944,France,Paris,FR,Rockefeller Institute for Medical Research,New York NY,USA,1912,medicine,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1873.0,39.0
Paul,Sabatier,male,1854-11-05,France,Carcassonne,FR,14/08/1941,France,Toulouse,FR,Toulouse University,Toulouse,France,1912,chemistry,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",1854.0,58.0
Victor,Grignard,male,1871-05-06,France,Cherbourg,FR,13/12/1935,France,Lyon,FR,Nancy University,Nancy,France,1912,chemistry,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",1871.0,41.0
Gustaf,Dalén,male,1869-11-30,Sweden,Stenstorp,SE,09/12/1937,Sweden,Stockholm,SE,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,1912,physics,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",1869.0,43.0
Elihu,Root,male,1845-02-15,USA,Clinton NY,US,07/02/1937,USA,New York NY,US,,,,1912,peace,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",1845.0,67.0
Charles,Richet,male,1850-08-26,France,Paris,FR,04/12/1935,France,Paris,FR,Sorbonne University,Paris,France,1913,medicine,1,"""in recognition of his work on anaphylaxis""",1850.0,63.0
Alfred,Werner,male,1866-12-12,France,Mulhouse,FR,15/11/1919,Switzerland,Zurich,CH,University of Zurich,Zurich,Switzerland,1913,chemistry,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1866.0,47.0
Henri,La Fontaine,male,1854-04-22,Belgium,Brussels,BE,14/05/1943,Belgium,Brussels,BE,,,,1913,peace,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",1854.0,59.0
Rabindranath,Tagore,male,1861-05-07,India,Calcutta,IN,07/08/1941,India,Calcutta,IN,,,,1913,literature,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",1861.0,52.0
Heike,Kamerlingh Onnes,male,1853-09-21,the Netherlands,Groningen,NL,21/02/1926,the Netherlands,Leiden,NL,Leiden University,Leiden,the Netherlands,1913,physics,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",1853.0,60.0
Max,von Laue,male,1879-10-09,Germany,Pfaffendorf,DE,23/04/1960,West Germany (now Germany),Berlin,DE,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1914,physics,1,"""for his discovery of the diffraction of X-rays by crystals""",1879.0,35.0
Robert,Bárány,male,1876-04-22,Austria,Vienna,AT,08/04/1936,Sweden,Uppsala,SE,Vienna University,Vienna,Austria,1914,medicine,1,"""for his work on the physiology and pathology of the vestibular apparatus""",1876.0,38.0
Theodore W.,Richards,male,1868-01-31,USA,Germantown PA,US,02/04/1928,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA,1914,chemistry,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1868.0,46.0
William,Bragg,male,1862-07-02,United Kingdom,Wigton,GB,12/03/1942,United Kingdom,London,GB,University College,London,United Kingdom,1915,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",1862.0,53.0
Lawrence,Bragg,male,1890-03-31,Australia,Adelaide,AU,01/07/1971,United Kingdom,Ipswich,GB,Victoria University,Manchester,United Kingdom,1915,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",1890.0,25.0
Richard,Willstätter,male,1872-08-13,Germany,Karlsruhe,DE,03/08/1942,Switzerland,Locarno,CH,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1915,chemistry,1,"""for his researches on plant pigments especially chlorophyll""",1872.0,43.0
Romain,Rolland,male,1866-01-29,France,Clamecy,FR,30/12/1944,France,Vézelay,FR,,,,1915,literature,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1866.0,49.0
Verner,von Heidenstam,male,1859-07-06,Sweden,Olshammar,SE,20/05/1940,Sweden,Övralid,SE,,,,1916,literature,1,"""in recognition of his significance as the leading representative of a new era in our literature""",1859.0,57.0
International Committee of the Red Cross,,org,1863-00-00,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1917,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",,
International Committee of the Red Cross,,org,1863-00-00,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1944,peace,1,"""for the great work it has performed during the war on behalf of humanity""",,
International Committee of the Red Cross,,org,1863-00-00,NA,NA,NA,0000-00-00,NA,NA,NA,NA,NA,NA,1963,peace,2,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",,
Charles Glover,Barkla,male,1877-06-07,United Kingdom,Widnes,GB,23/10/1944,Scotland,Edinburgh,GB,Edinburgh University,Edinburgh,United Kingdom,1917,physics,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1877.0,40.0
Karl,Gjellerup,male,1857-06-02,Denmark,Roholte,DK,11/10/1919,Germany,Klotzsche,DE,,,,1917,literature,2,"""for his varied and rich poetry which is inspired by lofty ideals""",1857.0,60.0
Henrik,Pontoppidan,male,1857-07-24,Denmark,Fredericia,DK,21/08/1943,Denmark,Ordrup,DK,,,,1917,literature,2,"""for his authentic descriptions of present-day life in Denmark""",1857.0,60.0
Max,Planck,male,1858-04-23,Schleswig (now Germany),Kiel,DE,04/10/1947,West Germany (now Germany),Göttingen,DE,Berlin University,Berlin,Germany,1918,physics,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",1858.0,60.0
Fritz,Haber,male,1868-12-09,Prussia (now Poland),Breslau (now Wroclaw),PL,29/01/1934,Switzerland,Basel,CH,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1918,chemistry,1,"""for the synthesis of ammonia from its elements""",1868.0,50.0
Woodrow,Wilson,male,1856-12-28,USA,Staunton VA,US,03/02/1924,USA,Washington D.C.,US,,,,1919,peace,1,"""for his role as founder of the League of Nations""",1856.0,63.0
Jules,Bordet,male,1870-06-13,Belgium,Soignies,BE,06/04/1961,Belgium,Brussels,BE,Brussels University,Brussels,Belgium,1919,medicine,1,"""for his discoveries relating to immunity""",1870.0,49.0
Johannes,Stark,male,1874-04-15,Germany,Schickenhof,DE,21/06/1957,West Germany (now Germany),Traunstein,DE,Greifswald University,Greifswald,Germany,1919,physics,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1874.0,45.0
Carl,Spitteler,male,1845-04-24,Switzerland,Liestal,CH,29/12/1924,Switzerland,Lucerne,CH,,,,1919,literature,1,"""in special appreciation of his epic <I>Olympian Spring</I>""",1845.0,74.0
Charles Edouard,Guillaume,male,1861-02-15,Switzerland,Fleurier,CH,13/06/1938,France,Sèvres,FR,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1920,physics,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",1861.0,59.0
Walther,Nernst,male,1864-06-25,Prussia (now Poland),Briesen (now Wąbrzeźno),PL,18/11/1941,Germany,Muskau,DE,Berlin University,Berlin,Germany,1920,chemistry,1,"""in recognition of his work in thermochemistry""",1864.0,56.0
August,Krogh,male,1874-11-15,Denmark,Grenå,DK,13/09/1949,Denmark,Copenhagen,DK,Copenhagen University,Copenhagen,Denmark,1920,medicine,1,"""for his discovery of the capillary motor regulating mechanism""",1874.0,46.0
Léon,Bourgeois,male,1851-05-21,France,Paris,FR,29/09/1925,France,Épernay,FR,,,,1920,peace,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",1851.0,69.0
Knut,Hamsun,male,1859-08-04,Norway,Lom,NO,19/02/1952,Norway,Grimstad,NO,,,,1920,literature,1,"""for his monumental work <I>Growth of the Soil</I>""",1859.0,61.0
Anatole,France,male,1844-04-16,France,Paris,FR,12/10/1924,France,Saint-Cyr-sur-Loire,FR,,,,1921,literature,1,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",1844.0,77.0
Hjalmar,Branting,male,1860-11-23,Sweden,Stockholm,SE,24/02/1925,Sweden,Stockholm,SE,,,,1921,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",1860.0,61.0
Albert,Einstein,male,1879-03-14,Germany,Ulm,DE,18/04/1955,USA,Princeton NJ,US,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1921,physics,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",1879.0,42.0
Frederick,Soddy,male,1877-09-02,United Kingdom,Eastbourne,GB,22/09/1956,United Kingdom,Brighton,GB,University of Oxford,Oxford,United Kingdom,1921,chemistry,1,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",1877.0,44.0
Christian,Lange,male,1869-09-17,Norway,Stavanger,NO,11/12/1938,Norway,Oslo,NO,,,,1921,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",1869.0,52.0
Niels,Bohr,male,1885-10-07,Denmark,Copenhagen,DK,18/11/1962,Denmark,Copenhagen,DK,Copenhagen University,Copenhagen,Denmark,1922,physics,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",1885.0,37.0
