Category,Motivation,clean
chemistry,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system
medicine,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged
literature,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a provenccedilal philologist
chemistry,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds
literature,"""because of his outstanding merits as an epic writer""",because of his outstanding merits as an epic writer
physics,"""for his work on cathode rays""",for his work on cathode rays
peace,"""for her audacity to oppose the horrors of war""",for her audacity to oppose the horrors of war
medicine,"""for his investigations and discoveries in relation to tuberculosis""",for his investigations and discoveries in relation to tuberculosis
literature,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces
peace,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",for his role in bringing to an end the bloody war recently waged between two of the worlds great powers japan and russia
physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
medicine,"""in recognition of their work on the structure of the nervous system""",in recognition of their work on the structure of the nervous system
chemistry,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him
medicine,"""in recognition of their work on the structure of the nervous system""",in recognition of their work on the structure of the nervous system
medicine,"""in recognition of his work on the role played by protozoa in causing diseases""",in recognition of his work on the role played by protozoa in causing diseases
chemistry,"""for his biochemical researches and his discovery of cell-free fermentation""",for his biochemical researches and his discovery of cellfree fermentation
literature,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this worldfamous author
peace,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",for his decisive influence upon the conduct and outcome of the hague and geneva conferences
peace,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",for his work in the press and in peace meetings both public and private for an understanding between france and italy
physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
chemistry,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",for his investigations into the disintegration of the elements and the chemistry of radioactive substances
literature,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life
peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",for their long time work for the cause of peace as politicians peace society leaders orators and authors
medicine,"""in recognition of their work on immunity""",in recognition of their work on immunity
medicine,"""in recognition of their work on immunity""",in recognition of their work on immunity
peace,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",for their long time work for the cause of peace as politicians peace society leaders orators and authors
physics,"""for his method of reproducing colours photographically based on the phenomenon of interference""",for his method of reproducing colours photographically based on the phenomenon of interference
physics,"""in recognition of their contributions to the development of wireless telegraphy""",in recognition of their contributions to the development of wireless telegraphy
medicine,"""for his work on the physiology pathology and surgery of the thyroid gland""",for his work on the physiology pathology and surgery of the thyroid gland
literature,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings
chemistry,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
physics,"""in recognition of their contributions to the development of wireless telegraphy""",in recognition of their contributions to the development of wireless telegraphy
peace,"""for their prominent position in the international movement for peace and arbitration""",for their prominent position in the international movement for peace and arbitration
peace,"""for their prominent position in the international movement for peace and arbitration""",for their prominent position in the international movement for peace and arbitration
literature,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of worldrenowned short stories
peace,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement
physics,"""for his work on the equation of state for gases and liquids""",for his work on the equation of state for gases and liquids
medicine,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances
chemistry,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
peace,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations
peace,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",for his role as cofounder of the institut de droit international initiator of the conferences on international private law conférences de droit international privé at the hague and pioneer in the field of international legal relations
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by professor henri becquerel
chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element
physics,"""for his discoveries regarding the laws governing the radiation of heat""",for his discoveries regarding the laws governing the radiation of heat
literature,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",in appreciation of his manysided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers own feelings and stimulate their imaginations
medicine,"""for his work on the dioptrics of the eye""",for his work on the dioptrics of the eye
literature,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art
medicine,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",in recognition of his work on vascular suture and the transplantation of blood vessels and organs
chemistry,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
chemistry,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",for the discovery of the socalled grignard reagent which in recent years has greatly advanced the progress of organic chemistry
physics,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
peace,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",for bringing about better understanding between the countries of north and south america and initiating important arbitration agreements between the united states and other countries
medicine,"""in recognition of his work on anaphylaxis""",in recognition of his work on anaphylaxis
chemistry,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry
peace,"""for his unparalleled contribution to the organization of peaceful internationalism""",for his unparalleled contribution to the organization of peaceful internationalism
literature,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own english words a part of the literature of the west
physics,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium
physics,"""for his discovery of the diffraction of X-rays by crystals""",for his discovery of the diffraction of xrays by crystals
medicine,"""for his work on the physiology and pathology of the vestibular apparatus""",for his work on the physiology and pathology of the vestibular apparatus
chemistry,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",in recognition of his accurate determinations of the atomic weight of a large number of chemical elements
physics,"""for their services in the analysis of crystal structure by means of X-rays""",for their services in the analysis of crystal structure by means of xrays
physics,"""for their services in the analysis of crystal structure by means of X-rays""",for their services in the analysis of crystal structure by means of xrays
chemistry,"""for his researches on plant pigments especially chlorophyll""",for his researches on plant pigments especially chlorophyll
literature,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings
literature,"""in recognition of his significance as the leading representative of a new era in our literature""",in recognition of his significance as the leading representative of a new era in our literature
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",for the efforts to take care of wounded soldiers and prisoners of war and their families
peace,"""for the great work it has performed during the war on behalf of humanity""",for the great work it has performed during the war on behalf of humanity
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",for promoting the principles of the geneva convention and cooperation with the un
physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",for his discovery of the characteristic roumlntgen radiation of the elements
literature,"""for his varied and rich poetry which is inspired by lofty ideals""",for his varied and rich poetry which is inspired by lofty ideals
literature,"""for his authentic descriptions of present-day life in Denmark""",for his authentic descriptions of presentday life in denmark
physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",in recognition of the services he rendered to the advancement of physics by his discovery of energy quanta
chemistry,"""for the synthesis of ammonia from its elements""",for the synthesis of ammonia from its elements
peace,"""for his role as founder of the League of Nations""",for his role as founder of the league of nations
medicine,"""for his discoveries relating to immunity""",for his discoveries relating to immunity
physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",for his discovery of the doppler effect in canal rays and the splitting of spectral lines in electric fields
literature,"""in special appreciation of his epic <I>Olympian Spring</I>""",in special appreciation of his epic iolympian springi
physics,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",in recognition of the service he has rendered to precision measurements in physics by his discovery of anomalies in nickel steel alloys
chemistry,"""in recognition of his work in thermochemistry""",in recognition of his work in thermochemistry
medicine,"""for his discovery of the capillary motor regulating mechanism""",for his discovery of the capillary motor regulating mechanism
peace,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the league of nations
literature,"""for his monumental work <I>Growth of the Soil</I>""",for his monumental work igrowth of the soili
literature,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true gallic temperament
peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",for their lifelong contributions to the cause of peace and organized internationalism
physics,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",for his services to theoretical physics and especially for his discovery of the law of the photoelectric effect
chemistry,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes
peace,"""for their lifelong contributions to the cause of peace and organized internationalism""",for their lifelong contributions to the cause of peace and organized internationalism
physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",for his services in the investigation of the structure of atoms and of the radiation emanating from them
peace,"""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",for his leading role in the repatriation of prisoners of war in international relief work and as the league of nations high commissioner for refugees
chemistry,"""for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule""",for his discovery by means of his mass spectrograph of isotopes in a large number of nonradioactive elements and for his enunciation of the wholenumber rule
medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle
literature,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",for the happy manner in which he has continued the illustrious traditions of the spanish drama
medicine,"""for his discovery relating to the production of heat in the muscle""",for his discovery relating to the production of heat in the muscle
medicine,"""for the discovery of insulin""",for the discovery of insulin
medicine,"""for the discovery of insulin""",for the discovery of insulin
physics,"""for his work on the elementary charge of electricity and on the photoelectric effect""",for his work on the elementary charge of electricity and on the photoelectric effect
chemistry,"""for his invention of the method of micro-analysis of organic substances""",for his invention of the method of microanalysis of organic substances
literature,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation
literature,"""for his great national epic <I>The Peasants</I>""",for his great national epic ithe peasantsi
medicine,"""for his discovery of the mechanism of the electrocardiogram""",for his discovery of the mechanism of the electrocardiogram
physics,"""for his discoveries and research in the field of X-ray spectroscopy""",for his discoveries and research in the field of xray spectroscopy
physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",for their discovery of the laws governing the impact of an electron upon an atom
physics,"""for their discovery of the laws governing the impact of an electron upon an atom""",for their discovery of the laws governing the impact of an electron upon an atom
peace,"""for his crucial role in bringing about the Locarno Treaty""",for his crucial role in bringing about the locarno treaty
peace,"""for his crucial role in bringing about the Dawes Plan""",for his crucial role in bringing about the dawes plan
chemistry,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry""",for his demonstration of the heterogenous nature of colloid solutions and for the methods he used which have since become fundamental in modern colloid chemistry
literature,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty
peace,"""for their crucial role in bringing about the Locarno Treaty""",for their crucial role in bringing about the locarno treaty
peace,"""for their crucial role in bringing about the Locarno Treaty""",for their crucial role in bringing about the locarno treaty
literature,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general
medicine,"""for his discovery of the Spiroptera carcinoma""",for his discovery of the spiroptera carcinoma
physics,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium
chemistry,"""for his work on disperse systems""",for his work on disperse systems
literature,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented
peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",for their contribution to the emergence in france and germany of a public opinion which favours peaceful international cooperation
physics,"""for his discovery of the effect named after him""",for his discovery of the effect named after him
physics,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",for his method of making the paths of electrically charged particles visible by condensation of vapour
medicine,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
chemistry,"""for his investigations of the constitution of the bile acids and related substances""",for his investigations of the constitution of the bile acids and related substances
peace,"""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",for their contribution to the emergence in france and germany of a public opinion which favours peaceful international cooperation
medicine,"""for his work on typhus""",for his work on typhus
chemistry,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",for the services rendered through his research into the constitution of the sterols and their connection with the vitamins
physics,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",for his work on the thermionic phenomenon and especially for the discovery of the law named after him
literature,"""principally for her powerful descriptions of Northern life during the Middle Ages""",principally for her powerful descriptions of northern life during the middle ages
chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes""",for their investigations on the fermentation of sugar and fermentative enzymes
chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes""",for their investigations on the fermentation of sugar and fermentative enzymes
medicine,"""for his discovery of the antineuritic vitamin""",for his discovery of the antineuritic vitamin
physics,"""for his discovery of the wave nature of electrons""",for his discovery of the wave nature of electrons
literature,"""principally for his great novel <I>Buddenbrooks</I> which has won steadily increased recognition as one of the classic works of contemporary literature""",principally for his great novel ibuddenbrooksi which has won steadily increased recognition as one of the classic works of contemporary literature
medicine,"""for his discovery of the growth-stimulating vitamins""",for his discovery of the growthstimulating vitamins
peace,"""for his crucial role in bringing about the Briand-Kellogg Pact""",for his crucial role in bringing about the briandkellogg pact
literature,"""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters""",for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters
medicine,"""for his discovery of human blood groups""",for his discovery of human blood groups
chemistry,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin
peace,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",for promoting christian unity and helping create that new attitude of mind which is necessary if peace between nations is to become reality
physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",for his work on the scattering of light and for the discovery of the effect named after him
medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme""",for his discovery of the nature and mode of action of the respiratory enzyme
chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",in recognition of their contributions to the invention and development of chemical high pressure methods
chemistry,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",in recognition of their contributions to the invention and development of chemical high pressure methods
literature,"""The poetry of Erik Axel Karlfeldt""",the poetry of erik axel karlfeldt
peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind
peace,"""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind
medicine,"""for their discoveries regarding the functions of neurons""",for their discoveries regarding the functions of neurons
medicine,"""for their discoveries regarding the functions of neurons""",for their discoveries regarding the functions of neurons
physics,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen
literature,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",for his distinguished art of narration which takes its highest form in ithe forsyte sagai
chemistry,"""for his discoveries and investigations in surface chemistry""",for his discoveries and investigations in surface chemistry
physics,"""for the discovery of new productive forms of atomic theory""",for the discovery of new productive forms of atomic theory
physics,"""for the discovery of new productive forms of atomic theory""",for the discovery of new productive forms of atomic theory
peace,"""for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace""",for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace
medicine,"""for his discoveries concerning the role played by the chromosome in heredity""",for his discoveries concerning the role played by the chromosome in heredity
literature,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",for the strict artistry with which he has carried on the classical russian traditions in prose writing
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",for their discoveries concerning liver therapy in cases of anaemia
chemistry,"""for his discovery of heavy hydrogen""",for his discovery of heavy hydrogen
literature,"""for his bold and ingenious revival of dramatic and scenic art""",for his bold and ingenious revival of dramatic and scenic art
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",for their discoveries concerning liver therapy in cases of anaemia
medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",for their discoveries concerning liver therapy in cases of anaemia
peace,"""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34""",for his untiring struggle and his courageous efforts as chairman of the league of nations disarmament conference 193134
chemistry,"""in recognition of their synthesis of new radioactive elements""",in recognition of their synthesis of new radioactive elements
chemistry,"""in recognition of their synthesis of new radioactive elements""",in recognition of their synthesis of new radioactive elements
physics,"""for the discovery of the neutron""",for the discovery of the neutron
medicine,"""for his discovery of the organizer effect in embryonic development""",for his discovery of the organizer effect in embryonic development
peace,"""for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace""",for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace
chemistry,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of xrays and electrons in gases
medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",for their discoveries relating to chemical transmission of nerve impulses
physics,"""for his discovery of cosmic radiation""",for his discovery of cosmic radiation
medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",for their discoveries relating to chemical transmission of nerve impulses
physics,"""for his discovery of the positron""",for his discovery of the positron
peace,"""for his role as father of the Argentine Antiwar Pact of 1933 which he also used as a means to mediate peace between Paraguay and Bolivia in 1935""",for his role as father of the argentine antiwar pact of 1933 which he also used as a means to mediate peace between paraguay and bolivia in 1935
literature,"""for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy""",for the power honesty and deepfelt emotions of his dramatic works which embody an original concept of tragedy
physics,"""for their experimental discovery of the diffraction of electrons by crystals""",for their experimental discovery of the diffraction of electrons by crystals
medicine,"""for his discoveries in connection with the biological combustion processes with special reference to vitamin C and the catalysis of fumaric acid""",for his discoveries in connection with the biological combustion processes with special reference to vitamin c and the catalysis of fumaric acid
chemistry,"""for his investigations on carbohydrates and vitamin C""",for his investigations on carbohydrates and vitamin c
physics,"""for their experimental discovery of the diffraction of electrons by crystals""",for their experimental discovery of the diffraction of electrons by crystals
peace,"""for his tireless effort in support of the League of Nations disarmament and peace""",for his tireless effort in support of the league of nations disarmament and peace
literature,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novelcycle iles thibaulti
chemistry,"""for his investigations on carotenoids flavins and vitamins A and B2""",for his investigations on carotenoids flavins and vitamins a and b2
physics,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons
chemistry,"""for his work on carotenoids and vitamins""",for his work on carotenoids and vitamins
medicine,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
